pid,interventionName,perceived_diff,physio_diff
15,지금 듣고 싶은 말,33.33333333333333,12.488292663568677
15,"지금, 나 때문일까?",30.555555555555557,-38.31830792504079
15,호흡하기,6.25,-20.45126098613237
15,화 먹는 요정,21.875,19.97204357644513
16,나 잘했지?,10.714285714285714,-11.061652233379506
16,나를 지켜줘,-3.125,21.37356744559513
16,당 충전하기,7.142857142857142,-0.9535611761438636
16,스트레칭,9.375,17.23732716657492
16,지금 듣고 싶은 말,-0.0,23.161943314174266
16,"지금, 나 때문일까?",-5.0,-0.6868446079488008
16,호흡하기,7.142857142857142,14.712554033707493
16,화 먹는 요정,3.571428571428571,0.26624131594331607
17,나 잘했지?,-15.625,25.029977037590832
17,나를 지켜줘,-17.857142857142858,18.341602492833314
17,당 충전하기,-14.285714285714285,-14.574520867831472
17,스트레칭,-19.444444444444446,37.6489052671519
